struct1	struct2	Progres_score	CIRPIN_score
000006742	000077091	0.3034	0.9216
000006742	002408040	0.3009	0.9051
000006742	002652067	0.3732	0.9196
000006742	002833974	0.3158	0.9312
000006742	003602326	0.3281	0.9415
000006742	003956133	0.3481	0.9205
000006742	004007775	0.3542	0.9262
000006742	004048985	0.3127	0.9118
000006742	004133650	0.3125	0.9219
000006742	004207220	0.3172	0.9255
000006742	004254199	0.3379	0.9234
000006742	004281711	0.3645	0.9353
000006742	004441940	0.3692	0.9387
000006742	004480914	0.3085	0.9125
000006742	004518251	0.3006	0.9268
000006742	004641260	0.3312	0.9399
000006742	004647338	0.3437	0.9045
000006742	004662910	0.3531	0.9234
000006742	004831419	0.3709	0.9168
000006742	004927635	0.3397	0.9177
000006742	004928911	0.3178	0.9214
000006742	004930526	0.3313	0.9207
000006742	004934598	0.3188	0.9086
000006742	004944169	0.3062	0.9234
000006742	004944475	0.3129	0.9255
000006742	004945743	0.3082	0.9459
000006742	004946060	0.3658	0.9340
000006742	004946406	0.3406	0.9243
000006742	004946520	0.2934	0.9088
000006742	004947289	0.3159	0.9275
000006742	004948113	0.3146	0.9232
000006742	004953685	0.3073	0.9498
000006742	004957860	0.3475	0.9249
000006742	004960716	0.3396	0.9379
000006742	004974830	0.3280	0.9199
000006742	005006669	0.3835	0.9076
000006742	005014749	0.3174	0.9272
000006742	005015972	0.3124	0.9510
000006742	005020773	0.4069	0.9359
000006742	005023709	0.3400	0.9226
000006742	005027904	0.3529	0.9531
000006742	005046611	0.3153	0.9181
000006742	005048428	0.3124	0.9313
000006742	005054438	0.3844	0.9199
000006742	005068281	0.3472	0.9210
000006742	005082332	0.3303	0.9210
000077091	001725891	0.2522	0.9297
000077091	002104079	0.2595	0.9104
000077091	002652066	0.3256	0.9152
000077091	002987895	0.3131	0.9195
000077091	003604091	0.3197	0.9052
000077091	004042086	0.3914	0.9246
000077091	004344763	0.4939	0.9041
000077091	004624203	0.3847	0.9007
000077091	004932146	0.2749	0.9282
000077091	004944168	0.2483	0.9262
000077091	004944476	0.2286	0.9179
000077091	004955009	0.2287	0.9167
000077091	004961171	0.3091	0.9021
000077091	004992302	0.2863	0.9145
000077091	005006018	0.4550	0.9368
000077091	005013771	0.3146	0.9172
000077091	005027903	0.2325	0.9113
000077091	005031126	0.2228	0.9263
000077091	005067799	0.2322	0.9211
001286823	003835236	0.3758	0.9276
001286823	004052949	0.3834	0.9132
001286823	004515179	0.4698	0.9023
001286823	004518251	0.3118	0.9077
001286823	004647338	0.3576	0.9153
001286823	004662910	0.3364	0.9024
001286823	004991642	0.4625	0.9022
001725891	002408040	0.2540	0.9118
001725891	002652067	0.3305	0.9518
001725891	002833974	0.2674	0.9395
001725891	003388252	0.2984	0.9241
001725891	003436719	0.3287	0.9180
001725891	003602326	0.2995	0.9533
001725891	003604346	0.3881	0.9072
001725891	003835236	0.3208	0.9391
001725891	003956133	0.3083	0.9514
001725891	004007775	0.3347	0.9482
001725891	004048985	0.2819	0.9371
001725891	004052949	0.3212	0.9411
001725891	004074522	0.3433	0.9322
001725891	004133650	0.2687	0.9561
001725891	004207220	0.2693	0.9339
001725891	004254199	0.2927	0.9583
001725891	004281711	0.3347	0.9592
001725891	004411802	0.3680	0.9047
