struct1	struct2	Progres_score	CIRPIN_score
000134183	004942332	0.5989	0.9154
000134183	004947938	0.4158	0.9355
000134183	005045847	0.4234	0.9028
000135315	004942332	0.4856	0.9234
000135315	004947938	0.3200	0.9430
000135315	004992252	0.5548	0.9519
000135315	005045847	0.3207	0.9171
000135315	005074511	0.4515	0.9033
001146577	004942332	0.5330	0.9296
001146577	004947938	0.4006	0.9423
001146577	005045847	0.4052	0.9154
001146577	005074511	0.4976	0.9026
001288915	003887264	0.5736	0.9026
001731504	004942332	0.5618	0.9386
001731504	004947938	0.3908	0.9429
001731504	005045847	0.3994	0.9576
001731504	005074511	0.5246	0.9544
002142077	004942332	0.5948	0.9227
002142077	004947938	0.4240	0.9447
002142077	005045847	0.4298	0.9219
002142077	005074511	0.5713	0.9027
002483342	004942332	0.5478	0.9293
002483342	004947938	0.3815	0.9359
002483342	005045847	0.3931	0.9458
002483342	005074511	0.5207	0.9432
002722862	004947938	0.3593	0.9044
003172763	004942332	0.5396	0.9656
003172763	004947938	0.3703	0.9720
003172763	004992252	0.5982	0.9429
003172763	005045847	0.3786	0.9726
003172763	005074511	0.5026	0.9679
003203783	004942332	0.5015	0.9735
003203783	004947938	0.3451	0.9738
003203783	004992252	0.5524	0.9542
003203783	005045847	0.3525	0.9760
003203783	005074511	0.4782	0.9702
003254002	004942332	0.5083	0.9371
003254002	004947938	0.3660	0.9589
003254002	004992252	0.5752	0.9357
003254002	005045847	0.3756	0.9490
003254002	005074511	0.4914	0.9366
003258552	004942332	0.5516	0.9548
003258552	004947938	0.3770	0.9558
003258552	005045847	0.3873	0.9716
003258552	005074511	0.5119	0.9695
003319335	004017124	0.5917	0.9010
003386267	004942332	0.5914	0.9145
003386267	004947938	0.4429	0.9057
003386267	005045847	0.4573	0.9181
003386267	005074511	0.5244	0.9183
003400611	004947938	0.4355	0.9206
003484155	004947938	0.3701	0.9205
003484155	004992252	0.5661	0.9205
003488828	004947938	0.4838	0.9076
003594537	004942332	0.5373	0.9567
003594537	004947938	0.3401	0.9588
003594537	005045847	0.3510	0.9676
003594537	005074511	0.5021	0.9605
003640381	004942332	0.5687	0.9754
003640381	004947938	0.4125	0.9780
003640381	005045847	0.4210	0.9808
003640381	005074511	0.5428	0.9730
003651076	004947938	0.4900	0.9223
003704415	004947938	0.5199	0.9104
003717984	004942332	0.5402	0.9631
003717984	004947938	0.3770	0.9685
003717984	005045847	0.3813	0.9761
003717984	005074511	0.5107	0.9695
003731880	004942332	0.5435	0.9693
003731880	004947938	0.3820	0.9743
003731880	004992252	0.5912	0.9488
003731880	005045847	0.3919	0.9750
003731880	005074511	0.5247	0.9678
003744712	004942332	0.5228	0.9588
003744712	004947938	0.3544	0.9500
003744712	004992252	0.5597	0.9159
003744712	005045847	0.3676	0.9656
003744712	005074511	0.4932	0.9688
003780896	004942332	0.4110	0.9579
003780896	004947938	0.2924	0.9728
003780896	004992252	0.5669	0.9773
003780896	005045847	0.3013	0.9627
003780896	005074511	0.4101	0.9536
003783106	004947938	0.4455	0.9163
003783380	004942332	0.5337	0.9359
003783380	004947938	0.3556	0.9409
003783380	004992252	0.5941	0.9115
003783380	005045847	0.3612	0.9492
003783380	005074511	0.5025	0.9436
003786278	004942332	0.4975	0.9576
003786278	004947938	0.3343	0.9559
003786278	004992252	0.5600	0.9435
003786278	005045847	0.3468	0.9618
003786278	005074511	0.4729	0.9604
003787720	004947938	0.4703	0.9024
003787720	004992252	0.5905	0.9214
003814095	004942332	0.5424	0.9287
003814095	004947938	0.3657	0.9342
003814095	005045847	0.3754	0.9456
003814095	005074511	0.5044	0.9419
003817963	004947938	0.4858	0.9167
003887264	004942332	0.5852	0.9091
003887264	004947938	0.4512	0.9265
003957227	004942332	0.5371	0.9559
003957227	004947938	0.3601	0.9682
003957227	004992252	0.5964	0.9437
003957227	005045847	0.3659	0.9537
003957227	005074511	0.5100	0.9383
003960955	004942332	0.5246	0.9182
003960955	004947938	0.3507	0.9411
003960955	004992252	0.5712	0.9474
003960955	005045847	0.3538	0.9095
003979601	005045847	0.4918	0.9139
003979601	005074511	0.5379	0.9182
004022280	004942332	0.5786	0.9742
004022280	004947938	0.4081	0.9819
004022280	005045847	0.4174	0.9821
004022280	005074511	0.5435	0.9738
004027379	004942332	0.5329	0.9571
004027379	004947938	0.3683	0.9578
004027379	004992252	0.5693	0.9143
004027379	005045847	0.3746	0.9689
004027379	005074511	0.4939	0.9666
004064565	004942332	0.5586	0.9379
004064565	004947938	0.3896	0.9436
004064565	005045847	0.3999	0.9568
004064565	005074511	0.5235	0.9539
004069910	004942332	0.5458	0.9689
004069910	004947938	0.3792	0.9772
004069910	005045847	0.3878	0.9826
004069910	005074511	0.5066	0.9774
004073818	004942332	0.5484	0.9506
004073818	004947938	0.3789	0.9529
004073818	005045847	0.3877	0.9606
004073818	005074511	0.5124	0.9570
004104734	004942332	0.5429	0.9644
004104734	004947938	0.3749	0.9731
004104734	005045847	0.3844	0.9787
004104734	005074511	0.5074	0.9727
004118730	004942332	0.5609	0.9314
004118730	004947938	0.3918	0.9388
004118730	005045847	0.4014	0.9497
004118730	005074511	0.5278	0.9462
004133382	004942332	0.5511	0.9315
004133382	004947938	0.3842	0.9425
004133382	005045847	0.3935	0.9507
004133382	005074511	0.5183	0.9463
004149038	004942332	0.5389	0.9393
004149038	004947938	0.3610	0.9452
004149038	005045847	0.3714	0.9583
004149038	005074511	0.5004	0.9552
004154256	004942332	0.5308	0.9310
004154256	004947938	0.3636	0.9380
004154256	005045847	0.3718	0.9507
004154256	005074511	0.4942	0.9481
004161293	004942332	0.5701	0.9163
004161293	004947938	0.4075	0.9206
004161293	005045847	0.4145	0.9333
004161293	005074511	0.5326	0.9318
004208967	004942332	0.5560	0.9189
004208967	004947938	0.3845	0.9282
004208967	005045847	0.3937	0.9412
004208967	005074511	0.5204	0.9372
004223616	004942332	0.5640	0.9469
004223616	004947938	0.3942	0.9539
004223616	005045847	0.4030	0.9629
004223616	005074511	0.5239	0.9587
004229131	004942332	0.5566	0.9391
004229131	004947938	0.3869	0.9463
004229131	005045847	0.3956	0.9571
004229131	005074511	0.5176	0.9542
004250963	004942332	0.5448	0.9435
004250963	004947938	0.3795	0.9571
004250963	005045847	0.3908	0.9624
004250963	005074511	0.5168	0.9543
004254001	004942332	0.5406	0.9590
004254001	004947938	0.3681	0.9625
004254001	005045847	0.3769	0.9718
004254001	005074511	0.5022	0.9690
004280303	004942332	0.5666	0.9282
004280303	004947938	0.3969	0.9362
004280303	005045847	0.4069	0.9474
004280303	005074511	0.5343	0.9437
004281630	004942332	0.5308	0.9400
004281630	004947938	0.3589	0.9452
004281630	005045847	0.3715	0.9582
004281630	005074511	0.4988	0.9555
004289376	004942332	0.5332	0.9369
004289376	004947938	0.3631	0.9442
004289376	005045847	0.3727	0.9568
004289376	005074511	0.4981	0.9536
004306159	004942332	0.5473	0.9245
004306159	004947938	0.3812	0.9341
004306159	005045847	0.3887	0.9442
004306159	005074511	0.5142	0.9397
004315853	004942332	0.5637	0.9370
004315853	004947938	0.3834	0.9458
004315853	005045847	0.3934	0.9558
004315853	005074511	0.5242	0.9524
004361495	004942332	0.5421	0.9356
004361495	004947938	0.3747	0.9421
004361495	005045847	0.3837	0.9529
004361495	005074511	0.5084	0.9485
004381669	004942332	0.5385	0.9355
004381669	004947938	0.3713	0.9451
004381669	005045847	0.3798	0.9554
004381669	005074511	0.5041	0.9517
004408460	004947938	0.4557	0.9287
004408460	005045847	0.4581	0.9083
004432580	004942332	0.5489	0.9312
004432580	004947938	0.3734	0.9360
004432580	005045847	0.3827	0.9504
004432580	005074511	0.5133	0.9490
004439938	004947938	0.3262	0.9168
004439938	004992252	0.5122	0.9242
004455869	004942332	0.5377	0.9474
004455869	004947938	0.3647	0.9505
004455869	005045847	0.3730	0.9612
004455869	005074511	0.5001	0.9594
004461164	004942332	0.3652	0.9381
004461164	004947938	0.3125	0.9343
004461164	005045847	0.3175	0.9467
004461164	005074511	0.3631	0.9503
004504387	004942332	0.5375	0.9379
004504387	004947938	0.3680	0.9470
004504387	005045847	0.3778	0.9557
004504387	005074511	0.5033	0.9527
004526774	004942332	0.5841	0.9619
004526774	004947938	0.4269	0.9643
004526774	005045847	0.4399	0.9773
004526774	005074511	0.5666	0.9710
004535267	004942332	0.5423	0.9440
004535267	004947938	0.3699	0.9474
004535267	005045847	0.3787	0.9589
004535267	005074511	0.5006	0.9549
004540467	005045847	0.5129	0.9075
004540467	005074511	0.5690	0.9092
004542691	005045847	0.4944	0.9020
004542691	005074511	0.5596	0.9038
